,product_id,product_name,discounted_price,actual_price,rating,rating_count,main category,sub category,discount_percentage %,quality of product
0,B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",399.0,1099.0,4.2,24269.0,Computers&Accessories,Cables,64.0,excellent
2,B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",199.0,1899.0,3.9,7928.0,Computers&Accessories,Cables,90.0,very good
4,B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",154.0,399.0,4.2,16905.0,Computers&Accessories,Cables,61.0,excellent
5,B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",149.0,1000.0,3.9,24871.0,Computers&Accessories,Cables,85.0,very good
6,B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",176.63,499.0,4.1,15188.0,Computers&Accessories,Cables,65.0,excellent
7,B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),229.0,299.0,4.3,30411.0,Computers&Accessories,Cables,23.0,excellent
10,B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),154.0,339.0,4.3,13391.0,Computers&Accessories,Cables,55.0,excellent
13,B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",350.0,899.0,4.2,2262.0,Computers&Accessories,Cables,61.0,excellent
14,B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),159.0,399.0,4.1,4768.0,Computers&Accessories,Cables,60.0,excellent
15,B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),349.0,399.0,4.4,18757.0,Computers&Accessories,Cables,13.0,excellent
18,B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",199.0,499.0,4.1,13045.0,Computers&Accessories,Cables,60.0,excellent
20,B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",970.0,1799.0,4.5,815.0,Computers&Accessories,Cables,46.0,excellent
21,B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",279.0,499.0,3.7,10962.0,Electronics,Cables,44.0,very good
23,B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),59.0,199.0,4.0,9378.0,Computers&Accessories,Cables,70.0,excellent
25,B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),199.0,699.0,4.2,12153.0,Electronics,Cables,72.0,excellent
27,B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",299.0,399.0,4.0,2766.0,Computers&Accessories,Cables,25.0,excellent
28,B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",970.0,1999.0,4.4,184.0,Computers&Accessories,Cables,51.0,excellent
29,B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",299.0,999.0,4.3,20850.0,Computers&Accessories,Cables,70.0,excellent
31,B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",179.0,499.0,4.0,1934.0,Computers&Accessories,Cables,64.0,excellent
32,B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",389.0,1099.0,4.3,974.0,Computers&Accessories,Cables,65.0,excellent
33,B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",599.0,599.0,4.3,355.0,Computers&Accessories,Cables,0.0,excellent
34,B0B4HJNPV4,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",199.0,999.0,3.9,1075.0,Computers&Accessories,Cables,80.0,very good
35,B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",99.0,666.66,3.9,24871.0,Computers&Accessories,Cables,85.0,very good
36,B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",899.0,1900.0,4.4,13552.0,Computers&Accessories,Cables,53.0,excellent
37,B09RZS1NQT,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices – Red, 1 Meter",199.0,999.0,4.0,576.0,Computers&Accessories,Cables,80.0,excellent
39,B09C6HWG18,"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). USB C to C Cable, Supports PD & QC 3.0 Charging, 5 GBPS Data Transmission – Black",970.0,1999.0,4.2,462.0,Computers&Accessories,Cables,51.0,excellent
42,B07JW1Y6XV,"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipad (3 FT Pack of 1, Black)",399.0,1099.0,4.2,24269.0,Computers&Accessories,Cables,64.0,excellent
43,B07KRCW6LZ,"TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop Laptop, Mini Travel Size, Supports Windows 11,10, 8.1, 8, 7, XP/Mac OS 10.9-10.15",999.0,1599.0,4.3,12093.0,Computers&Accessories,WirelessUSBAdapters,38.0,excellent
44,B09NJN8L25,"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Sync, Solid Cable, 1 Meter Long USB Cable for Micro USB Devices (White)(XCD-M11)",59.0,199.0,4.0,9378.0,Computers&Accessories,Cables,70.0,excellent
45,B07XJYYH7L,"Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone, Ios And Type C Usb Devices, 3 In 1 Charging Cable, 3A, (3 Feet) (Black)",333.0,999.0,3.3,9792.0,Computers&Accessories,Cables,67.0,very good
46,B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),507.0,1208.0,4.1,8131.0,Computers&Accessories,WirelessUSBAdapters,58.0,excellent
48,B09L8DSSFH,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,399.0,999.0,3.6,493.0,Electronics,RemoteControls,60.0,very good
50,B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",1199.0,2199.0,4.4,24780.0,Computers&Accessories,WirelessUSBAdapters,45.0,excellent
52,B082T6V3DT,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (6-Ft, Rose Gold)",799.0,2100.0,4.3,8188.0,Computers&Accessories,Cables,62.0,excellent
54,B0BFWGBX61,"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1.5 Meter (RCT15, Blue) Supports QC 2.0/3.0 Charging",199.0,349.0,4.1,314.0,Computers&Accessories,Cables,43.0,excellent
55,B01N90RZ4M,Tata Sky Universal Remote,230.0,499.0,3.7,2960.0,Electronics,RemoteControls,54.0,very good
58,B0B4DT8MKT,"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 Mtr Long, Type C cable, Micro Usb Cable and Cable for iPhone, White",348.0,1499.0,4.2,656.0,Computers&Accessories,Cables,77.0,excellent
59,B08CDKQ8T6,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey)",154.0,349.0,4.3,7064.0,Computers&Accessories,Cables,56.0,excellent
60,B07B275VN9,"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",179.0,799.0,3.7,2201.0,Electronics,RemoteControls,78.0,very good
62,B0994GFWBH,Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,139.0,999.0,4.0,1313.0,Computers&Accessories,Cables,86.0,excellent
63,B01GGKZ0V6,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,329.0,845.0,4.2,29746.0,Computers&Accessories,Cables,61.0,excellent
66,B09Q8HMKZX,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangle Resistant, Fast Data Sync(Grey)",263.0,699.0,4.1,450.0,Computers&Accessories,Cables,62.0,excellent
68,B07966M8XH,"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma TV's",1599.0,2999.0,4.2,2727.0,Electronics,"TVMounts,Stands&Turntables",47.0,excellent
69,B01GGKYKQM,"Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters), Black",219.0,700.0,4.3,20053.0,Computers&Accessories,Cables,69.0,excellent
70,B0B86CDHL1,"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braided 1M length with LED Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",349.0,899.0,4.5,149.0,Computers&Accessories,Cables,61.0,excellent
71,B0B5ZF3NRK,"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charging Cable Compatible with One Plus 3 /3T /5 /5T /6 /6T /7 /7T /7 pro & for All Type C Devices - 1 Meter, Red",349.0,599.0,4.1,210.0,Computers&Accessories,Cables,42.0,excellent
73,B08R69VDHT,"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cable for Data Transfer Perfect for Android Smart Phones White 1.2 Meter Made in India (Pack of 2)",115.0,499.0,4.0,7732.0,Computers&Accessories,Cables,77.0,excellent
74,B09RWZRCP1,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Rebellious Black)",399.0,999.0,4.1,1780.0,Computers&Accessories,Cables,60.0,excellent
75,B09CMP1SC8,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Technology & Quick Charge 3.0, Compatible with All Type-C & Micro USB Devices (ABDC-10, Black)",199.0,499.0,4.1,602.0,Computers&Accessories,Cables,60.0,excellent
76,B09YLXYP7Y,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, Black)",179.0,399.0,4.0,1423.0,Computers&Accessories,Cables,55.0,excellent
78,B0B2DJDCPX,"SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11, 12, 13 Pro max iPad Air/Mini, iPod and iOS Devices (White)",209.0,499.0,3.9,536.0,Computers&Accessories,Cables,58.0,very good
79,B0BCZCQTJX,Firestick Remote,1434.0,3999.0,4.0,32.0,Electronics,RemoteControls,64.0,excellent
80,B07LGT55SJ,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",399.0,1099.0,4.2,24269.0,Computers&Accessories,Cables,64.0,excellent
81,B09NKZXMWJ,"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable For Usb Type C Devices, Charging Adapter (White, 1 Meter) - Xcd-C12",139.0,249.0,4.0,9378.0,Computers&Accessories,Cables,44.0,excellent
83,B0974H97TJ,"boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black)",299.0,799.0,4.4,28791.0,Computers&Accessories,Cables,63.0,excellent
84,B07GVGTSLN,"Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",325.0,1299.0,4.2,10576.0,Computers&Accessories,Cables,75.0,excellent
88,B0BMXMLSMM,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices – Red, 1 Meter",199.0,999.0,4.5,127.0,Computers&Accessories,Cables,80.0,excellent
89,B07JH1C41D,"Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable Fast Charger Cord For Iphone, Ipad Tablet (3 Ft Pack Of 2, Grey)",649.0,1999.0,4.2,24269.0,Computers&Accessories,Cables,68.0,excellent
90,B0141EZMAI,"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",269.0,800.0,3.6,10134.0,Computers&Accessories,WirelessUSBAdapters,66.0,very good
93,B09VT6JKRP,Lapster USB 3.0 A to Micro B SuperSpeed for hard disk cable - short cable,199.0,999.0,4.1,425.0,Computers&Accessories,Cables,80.0,excellent
95,B093QCY6YJ,"ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes with Advanced Security WPA/WPA2 encryption Standards",290.0,349.0,3.7,1977.0,Computers&Accessories,WirelessUSBAdapters,17.0,very good
96,B093ZNQZ2Y,"LOHAYA Remote Compatible for Mi Smart LED TV 4A Remote Control (32""/43"") [ Compatible for Mi Tv Remote Control ] [ Compatible for Mi Smart LED Tv Remote Control ]",249.0,799.0,3.8,1079.0,Electronics,RemoteControls,69.0,very good
97,B08LKS3LSP,"Gilary Multi Charging Cable, 3 in 1 Nylon Braided Fast Charging Cable for iPhone Micro USB Type C Mobile Phone | Colour May Vary |",345.0,999.0,3.7,1097.0,Computers&Accessories,Cables,65.0,very good
98,B00V4BGDKU,TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play,1099.0,1899.0,4.5,22420.0,Computers&Accessories,WirelessUSBAdapters,42.0,excellent
99,B08CHKQ8D4,"Wayona Type C to Lightning MFI Certified 20W Fast charging Nylon Braided USB C Cable for iPhone 14, 14 Pro, 14 Pro Max, 14 Plus, 13, 13 Pro, 13 Pro Max, 13 Mini, 12, 12 Pro, 11, 11 Pro Max iPhone 12 Mini, X, 8 (2M, Grey)",719.0,1499.0,4.1,1045.0,Computers&Accessories,Cables,52.0,excellent
100,B09BW334ML,Dealfreez Case Compatible with Fire TV Stick 3rd Gen 2021 Full Wrap Silicone Remote Cover Anti-Lost with Loop (D-Black),349.0,1499.0,4.3,4145.0,Electronics,RemoteControls,77.0,excellent
101,B082T6GVLJ,"Amazon Basics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (3-Ft, Rose Gold)",849.0,1809.0,4.3,6547.0,Computers&Accessories,Cables,53.0,excellent
102,B07DL1KC3H,Isoelite Remote Compatible for Samsung LED/LCD Remote Control Works with All Samsung LED/LCD TV Model No :- BN59-607A (Please Match The Image with Your Old Remote),299.0,899.0,4.0,1588.0,Electronics,RemoteControls,67.0,excellent
104,B07JNVF678,"Wayona Nylon Braided USB Data Sync and Fast Charging 3A Short Power Bank Cable For iPhones, iPad Air, iPad mini, iPod Nano and iPod Touch (Grey)",349.0,999.0,4.2,13120.0,Computers&Accessories,Cables,65.0,excellent
105,B09QGZFBPM,"Wayona Type C To Type C Long Fast Charging Cable Type C Charger Cord Compatible With Samsung S22 S20 S20 Fe 2022 S22 Ultra S21 Ultra A70 A51 A53 A33 A73 M51 M31 M33 M53 (Grey, 2M, 65W, 6Ft)",399.0,999.0,4.3,2806.0,Computers&Accessories,Cables,60.0,excellent
106,B07JGDB5M1,"Wayona Nylon Braided 2M / 6Ft Fast Charge Usb To Lightning Data Sync And Charging Cable For Iphone, Ipad Tablet (6 Ft Pack Of 1, Grey)",449.0,1299.0,4.2,24269.0,Computers&Accessories,Cables,65.0,excellent
107,B0981XSZJ7,CROSSVOLT Compatible Dash/Warp Data Sync Fast Charging Cable Supported for All C Type Devices (Cable),299.0,999.0,4.3,766.0,Computers&Accessories,Cables,70.0,excellent
109,B08Y5KXR6Z,"PTron Solero T241 2.4A Type-C Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1-Meter Long USB Cable for Type-C USB Devices for Charging Adapter (Black)",99.0,800.0,3.9,24871.0,Computers&Accessories,Cables,88.0,very good
111,B0974G5Q2Y,"boAt Laptop, Smartphone Type-c A400 Male Data Cable (Carbon Black)",273.1,999.0,4.3,20850.0,Computers&Accessories,Cables,73.0,excellent
113,B09RX1FK54,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Radiant Red)",399.0,999.0,4.1,1780.0,Computers&Accessories,Cables,60.0,excellent
114,B09TT6BFDX,Cotbolt Silicone Protective Case Cover for LG an MR21GA Magic Remote Shockproof for LG Smart TV Remote 2021 Protective Skin Waterproof Anti Lost (Black) (Remote Not Included),399.0,1999.0,4.5,505.0,Electronics,RemoteControls,80.0,excellent
115,B09KH58JZR,Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),210.0,399.0,4.1,1717.0,Computers&Accessories,Cables,47.0,excellent
116,B09DDCQFMT,Electvision Remote Control Compatible with Amazon Fire tv Stick (Pairing Manual Will be Back Side Remote Control)(P),1299.0,1999.0,3.6,590.0,Electronics,RemoteControls,35.0,very good
117,B08RP2L2NL,"King Shine Multi Retractable 3.0A Fast Charger Cord, Multiple Charging Cable 4Ft/1.2m 3-in-1 USB Charge Cord Compatible with Phone/Type C/Micro USB for All Android and iOS Smartphones (Random Colour)",347.0,999.0,3.5,1121.0,Computers&Accessories,Cables,65.0,very good
118,B0B4G2MWSB,"Lapster 5 pin mini usb cable, usb b cable,camera cable usb2.0 for External HDDS/Card Readers/Camera etc.",149.0,999.0,4.0,1313.0,Computers&Accessories,Cables,85.0,excellent
119,B0B21C4BMX,"Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3.0A Output, Tangle Resistant, 1.2M Length, Nylon Braided(Zebra)",228.0,899.0,3.8,132.0,Computers&Accessories,Cables,75.0,very good
120,B084MZXJNK,"Belkin Apple Certified Lightning To Type C Cable, Tough Unbreakable Braided Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",1599.0,1999.0,4.4,1951.0,Computers&Accessories,Cables,20.0,excellent
121,B0BHZCNC4P,Remote Control Compatible for Amazon Fire Tv Stick Remote Control [ 3rd Gen ](Not Compatible for Fire TV Edition Smart TV) from basesailor,1499.0,3999.0,3.7,37.0,Electronics,RemoteControls,63.0,very good
125,B015OW3M1W,AmazonBasics 6-Feet DisplayPort (not USB port) to HDMI Cable Black,799.0,1700.0,4.1,28638.0,Electronics,Cables,53.0,excellent
126,B01D5H8ZI8,AmazonBasics 3 Feet High Speed HDMI Male to Female 2.0 Extension Cable,229.0,595.0,4.3,12835.0,Electronics,Cables,62.0,excellent
128,B09MM6P76N,7SEVEN® Compatible Lg Smart Tv Remote Suitable for Any LG LED OLED LCD UHD Plasma Android Television and AKB75095303 replacement of Original Lg Tv Remote Control,349.0,599.0,4.2,284.0,Electronics,RemoteControls,42.0,excellent
131,B09QGZM8QB,"Wayona Usb Type C 65W 6Ft/2M Long Fast Charging Cable Compatible For Samsung S22 S20 Fe S21 Ultra A33 A53 A01 A73 A70 A51 M33 M53 M51 M31(2M, Black)",399.0,999.0,4.3,2806.0,Computers&Accessories,Cables,60.0,excellent
132,B08L4SBJRY,"Saifsmart Outlet Wall Mount Hanger Holder for Dot 3rd Gen, Compact Bracket Case Plug and Built-in Cable Management for Kitchen Bathroom, Bedroom (Black)",349.0,1299.0,4.0,3295.0,Electronics,SpeakerAccessories,73.0,excellent
133,B09X79PP8F,"MI 2-in-1 USB Type C Cable (Micro USB to Type C) 30cm for Smartphone, Headphone, Laptop (White)",179.0,299.0,3.9,81.0,Computers&Accessories,Cables,40.0,very good
136,B0B4HKH19N,"pTron Solero 331 3.4Amps Multifunction Fast Charging Cable, 3-in-1 USB Cable Micro USB/Type-C/iOS, Made in India, Durable & Strong & Tangle-free 118cm in Length (Black)",249.0,931.0,3.9,1075.0,Computers&Accessories,Cables,73.0,very good
137,B08TGG316Z,"10k 8k 4k HDMI Cable, Certified 48Gbps 1ms Ultra High Speed HDMI 2.1 Cable 4k 120Hz 144Hz 2k 165Hz 8k 60Hz Dynamic HDR ARC eARC DTS:X Compatible for Mac Gaming PC Soundbar TV Monitor Laptop PS5 4 Xbox",999.0,2399.0,4.6,3664.0,Electronics,Cables,58.0,excellent
138,B071VMP1Z4,LRIPL Compatible Sony Bravia LCD/led Remote Works with Almost All Sony led/LCD tv's,399.0,399.0,3.9,1951.0,Electronics,RemoteControls,0.0,very good
139,B071SDRGWL,"boAt Type-c A400 Type-c to USB A Cable for All Type C Phones (Lg nexus 5x), 1Mtr(Black)",349.0,699.0,4.3,20850.0,Computers&Accessories,Cables,50.0,excellent
140,B08PSQRW2T,"Zoul Type C to Type C Fast Charging Cable 65W 2M/6ft USB C Nylon Braided Cord Compatible with MacBook Oneplus 9 9R Samsung Galaxy S21 Ultra S20+ (2M, Black)",399.0,1099.0,4.1,2685.0,Computers&Accessories,Cables,64.0,excellent
141,B0859M539M,"TP-LINK AC1300 Archer T3U Plus High Gain USB 3.0 Wi-Fi Dongle, Wireless Dual Band MU-MIMO WiFi Adapter with High Gain Antenna, Supports Windows 11/10/8.1/8/7/XP/MacOS",1699.0,2999.0,4.4,24780.0,Computers&Accessories,WirelessUSBAdapters,43.0,excellent
145,B00RFWNJMC,Airtel DigitalTV DTH Remote SD/HD/HD Recording Compatible for Television (Shining Black ),195.0,499.0,3.7,1383.0,Electronics,RemoteControls,61.0,very good
146,B082T6GXS5,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone, iPad, Silver, 6-Ft",999.0,2100.0,4.5,5492.0,Computers&Accessories,Cables,52.0,excellent
147,B09CMQRQM6,"Ambrane Fast 100W Output Cable with Type-C to Type-C for Mobile, Laptop, Macbook & Table Charging, 480mbps Data Sync Speed, Braided Cable, 1.5m Length (ABCC-100, Black-Grey)",499.0,899.0,4.2,919.0,Computers&Accessories,Cables,44.0,excellent
148,B005LJQMCK,"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",416.0,599.0,4.2,30023.0,Electronics,Cables,31.0,excellent
149,B09C6H53KH,"Duracell Type-C To Micro 1.2M braided Sync & Charge Cable, USB C to Micro Fast Charge Compatible for fast data transmission (Black)",368.0,699.0,4.2,387.0,Computers&Accessories,Cables,47.0,excellent
151,B08QSDKFGQ,"Zoul USB Type C Fast Charging 3A Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31s M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (1M, Grey)",339.0,1099.0,4.3,974.0,Computers&Accessories,Cables,69.0,excellent
153,B07YTNKVJQ,MI Xiaomi USB Type C HYperCharge Cable 6A 100cm Sturdy and Durable Black Supports 120W HyperCharging,499.0,1299.0,4.3,30411.0,Computers&Accessories,Cables,62.0,excellent
154,B0117H7GZ6,GENERIC Ultra-Mini Bluetooth CSR 4.0 USB Dongle Adapter for Windows Computer ( Black:Golden),249.0,399.0,3.4,4642.0,Computers&Accessories,WirelessUSBAdapters,38.0,very good
155,B09XJ1LM7R,7SEVEN® Compatible for Tata Sky Remote Original Set Top HD Box and Suitable for SD Tata Play setup Box Remote Control,399.0,799.0,4.3,12.0,Electronics,RemoteControls,50.0,excellent
156,B084N133Y7,"Belkin Apple Certified Lightning To Type C Cable, Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",1499.0,1999.0,4.4,1951.0,Computers&Accessories,Cables,25.0,excellent
158,B07VSG5SXZ,"ZEBRONICS HAA2021 HDMI version 2.1 cable with 8K @ 60Hz, 4K @ 120Hz, eARC & CEC support, 3D compatible, 2 meters length, 48Gbps max and Gold-plated connectors",637.0,1499.0,4.1,24.0,Electronics,Cables,58.0,excellent
159,B08RWCZ6SY,7SEVEN® Compatible for Sony Bravia LCD LED UHD OLED QLED 4K Ultra HD TV remote control with YouTube and NETFLIX Hotkeys. Universal Replacement for Original Sony Smart Android tv Remote Control,399.0,899.0,3.9,254.0,Electronics,RemoteControls,56.0,very good
160,B07KSB1MLX,AmazonBasics Digital Optical Coax to Analog RCA Audio Converter Adapter with Fiber Cable,1089.0,1600.0,4.0,3565.0,Electronics,Cables,32.0,excellent
161,B081FG1QYX,"Wayona Type C Cable Nylon Braided USB C QC 3.0 Fast Charging Short Power Bank Cable for Samsung Galaxy S10e/S10+/S10/S9/S9+/Note 9/S8/Note 8, LG G7 G5 G6, Moto G6 G7 (0.25M, Black)",339.0,999.0,4.3,6255.0,Computers&Accessories,Cables,66.0,excellent
162,B08R69WBN7,"Pinnaclz Original Combo of 2 USB Type C Fast Charging Cable, USB C Data Cable for Charging and Data Transfer Smart Phones White 1.2 Meter Made in India (Pack of 2)",149.0,499.0,4.0,7732.0,Computers&Accessories,Cables,70.0,excellent
163,B0B3RHX6B6,Ambrane BCL-15 Lightning Cable for Smartphone (1.5m Black),149.0,399.0,3.9,57.0,Computers&Accessories,Cables,63.0,very good
164,B084N18QZY,"Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - Black, USB-IF Certified",599.0,849.0,4.5,577.0,Computers&Accessories,Cables,29.0,excellent
